   1	2  19  10 
   1	2  29  38 
   1	6  41  33 
   3	2  14  23 
   5	2  16   9 
   1	6  43  42 
   3	6  20  18 
   7	2   9   3 
   3	6  45  37 
   5	6  28  14 
   9	2  20  33 
   9	2  23  24 
   9	6  46  44 
   9	6  10   1 
  11	6  27  25 
  15	2  28  44 
  11	6  23  15 
  17	2   1  14 
  17	6  30  18 
   1	6   6   5 
  11	6  13   5 
  17	6  33  27 
  17	6  46  39 
  17	6  42  35 
  19	6  15   7 
  23	2  43  30 
  23	2  19  18 
  23	6  39  32 
  25	2  29  14 
  17	6   6   5 
  23	6   5   3 
  25	6  26  20 
  29	2  38  23 
  27	6  36  35 
  31	2  32  11 
  27	6  14   8 
  31	6  23  22 
  33	2  11   3 
  33	6  38  26 
  37	2  16   3 
  37	6  21  14 
  39	2  30  33 
  41	2  32  23 
  39	6  13  11 
  43	2  37  21 
  43	6  33  26 
  45	2  37  31 
  47	2  38  36 
  47	2  24  23 
  45	6   6   3 
  45	6  21   7 
  49	6  43  31 
  49	6  41  27 
  51	6  16  15 
  51	6   7   1 
  51	6   5   4 
  55	6  31  18 
  55	6  48  34 
  55	6  44  36 
  61	2  25  16 
  61	6  47  44 
  63	2  16  17 
  63	2   1   4 
  65	2  18  11 
  65	6  23  22 
  67	2  25  34 
  69	2  10  26 
  69	2  41  47 
  67	6  38  36 
  71	2  34  40 
  71	2  10   3 
  71	6  25  20 
  73	2  11   3 
  73	6  40  38 
  77	2  17  25 
  79	2  31  45 
  81	2  43  45 
  81	2  40  25 
  83	2  23  38 
