   1	2  14  15 
   1	2   9   8 
   1	2   6   2 
   3	2  10  11 
   3	2   0   5 
   3	2  13  12 
   5	2   3   7 
   5	2   1   4 
   5	2  15  14 
   7	2  11  10 
   7	2   5   0 
   7	2  12  13 
   9	2   8   9 
   9	2   7   3 
   9	2  14  15 
  11	2   2   6 
  11	2   9   8 
  13	2   4   1 
  13	2  10  11 
  13	2  13  12 
  15	2   0   5 
  15	2   3   7 
  15	2  13  15 
  17	2   6   2 
  17	2   8  12 
  19	2   1   4 
  19	2   7  10 
  21	2  11   9 
  21	2   3   2 
  23	2   6   4 
  23	2  15  13 
  25	2   1   5 
  25	2  10   7 
  25	2  12   8 
  27	2   9  11 
  27	2   2   3 
  29	2   5   1 
  29	2  13  15 
  31	2   4   6 
  31	6  15  13 
  33	2   6   4 
  35	2   3   2 
  35	6   4   0 
  37	2   7  10 
  39	6  10   2 
  41	2   8  12 
  43	2   8  12 
  45	2  11   9 
  45	6   2   0 
  47	2   9  13 
  49	2  13   9 
  51	2   1   5 
  51	2  12   8 
  53	2  11   6 
  53	2   1   0 
  53	2   9  13 
  55	2   5  10 
  55	2   8  12 
  57	2   2   7 
  57	6  12   4 
  59	2   6  11 
  61	2   7   2 
  63	2  12  14 
  63	2   0   1 
  65	2  14  12 
  65	2   1   0 
  67	2  12  14 
  67	2   2   7 
  69	2  14  15 
  69	2   0   8 
  69	6   3   2 
  71	2  15  14 
  71	2   8   0 
  73	2  10   5 
  75	2  11   6 
  75	2   0   8 
  77	2  14  15 
  77	2   4   1 
  79	2   5  10 
  79	6  12   8 
  81	2   6  14 
  83	2   7  11 
  83	6   5   2 
  85	2  11   7 
  87	2   7  11 
  89	2   8   5 
  89	6  15   7 
  91	2   5   8 
  93	2   8   5 
  95	2   5   9 
  95	2   3   7 
  97	2  10  13 
  97	2   7   3 
  97	2   1   4 
  99	2  14   6 
  99	6   8   0 
 101	2   6  14 
 103	2   3   7 
 103	2  14  15 
 105	2   2   0 
 105	2  13  10 
 107	2   9   5 
 107	2  11   3 
 109	2   0   2 
 109	2  10  13 
 111	2   2   0 
 111	2  13  12 
 113	2   5   9 
 113	2  15  14 
 113	6   7   2 
 115	2   0   8 
 115	2  14  15 
 117	2   8   0 
 119	2   4   1 
 119	2   6  10 
 119	2  12  13 
 121	2   1   5 
 121	2   3  11 
 121	2  13  12 
 123	2   5   1 
 123	2  11   3 
 125	2  10   6 
 125	2   0   8 
 127	2   6  10 
 127	6   4   1 
 129	6  10   7 
 133	2   1   2 
 135	2  10   9 
 135	2   2   1 
 137	2   9  10 
 137	2   1   2 
 139	2  10   9 
 141	2   4   5 
