   1	6  18   6 
   1	6  38  31 
   1	6  15   2 
   1	6  41  33 
   7	2  23  18 
   7	6  33  32 
   9	6  16  14 
   1	6  43  36 
   7	6  37  36 
  13	6  38  33 
   9	6  19  12 
  19	2  18  31 
  21	2  31  15 
  21	6  34  19 
  23	2  15  16 
  27	2  18  23 
  27	6  39  34 
  27	6  20  13 
  33	2  31  18 
  33	6  27  20 
  35	2  16  32 
  37	2  15  31 
  13	6  35  28 
  35	6  11   5 
  39	2  32  26 
  39	2  16  15 
  39	6  30  28 
  41	2  26  33 
  43	2  33  25 
  45	2  32  16 
  47	2  26  32 
  47	6  30  17 
  49	2  33  26 
  47	6   8   2 
  47	6  47  45 
  41	6  13   5 
  47	6  20  13 
  53	2  25  37 
  55	2  37  38 
  55	2  25  33 
  57	2  38  39 
  57	6  34  20 
  55	6  10   5 
  61	6  31  10 
  67	2  37  25 
  67	6  10   2 
  69	2  39  27 
  71	2  38  37 
  71	2  27  12 
  71	6  40  32 
  73	2  12  11 
  75	2  11  17 
  77	2  39  38 
  77	2  17  29 
  79	2  27  39 
  79	2  29   8 
  81	2  12  27 
  81	2   8  24 
  83	2  11  12 
  83	2  24  45 
  85	2  17  11 
  85	2  45  46 
  85	6  32  31 
  81	6  41  40 
  87	6  19  10 
  85	6  15   1 
  91	6  23  15 
  93	2  46  34 
  95	2  34  47 
  97	2  29  17 
  97	6  40  33 
  99	2   8  29 
 101	2  24   8 
 103	2  45  24 
 105	2  46  45 
 105	6  26  23 
  99	6   4   3 
 105	6  11   4 
 111	2  47  32 
 111	6  17  11 
 113	2  34  46 
 115	2  32  31 
 115	2  47  34 
 117	2  31  19 
 119	2  32  47 
 119	6  20  11 
 121	2  31  32 
 123	6  30  16 
 125	2  19  33 
 127	2  33  26 
 111	6  28  21 
 117	6  21   7 
 123	6   7   1 
 127	6  11   3 
 123	6  28  21 
 127	6  20  13 
 129	6  21  15 
 133	2  19  31 
 135	2  26  17 
 137	2  33  19 
 137	2  17  16 
 139	2  26  33 
 139	2  16   3 
 139	6  20  12 
 141	2   3   1 
 143	2   1   0 
 143	6  15   9 
 135	6  43  38 
 141	6  38  25 
 149	2  17  26 
 149	6  22  14 
 151	2  16  17 
 153	2   0   9 
 121	6  48  47 
 141	6  36  35 
 147	6  47  44 
 153	6  44  35 
 155	2   3  16 
 157	2   1   3 
 153	6  47  46 
 159	2   9  12 
 159	6  45  42 
 161	2   0   1 
 161	2  12  25 
 163	2   9   0 
 163	6  26   5 
 165	6  46  38 
 169	2  12   9 
 171	2  25  22 
 171	6   6   4 
 173	2  22  36 
 175	2  36  35 
 177	2  25  12 
 177	2  35  14 
 179	2  22  25 
 181	2  36  22 
 183	2  14  28 
 185	2  35  36 
 187	2  28  44 
 189	2  14  35 
 189	2  44  45 
 191	2  28  14 
 191	2  45  38 
 193	2  44  28 
 195	2  38  26 
 197	2  45  44 
 197	2  26  11 
 199	2  38  45 
 199	2  11  10 
 201	2  26  38 
 201	2  10   4 
 203	2  11  26 
 205	2  10  11 
 207	2   4  10 
