   1	6  16   8 
   1	6  33  32 
   7	2   4  17 
   7	6  33  20 
   9	2  17  16 
  13	2  16  20 
  15	6   5   2 
   1	6  30  24 
  15	2  20  24 
  21	2  17   4 
  23	2  16  17 
  17	6  24  12 
  23	2  12   2 
  13	6  33  28 
  19	6  28  21 
  25	2  20  16 
  27	2   2   9 
  27	2  12  20 
  29	6  35  32 
  29	2   2  12 
  35	2   9  21 
  37	2  21  11 
  39	6  25   7 
  39	2  11  22 
  41	2  22  29 
  43	2  29  28 
  45	2  28  33 
  47	2  33  31 
  45	2   9   2 
  41	6   5   4 
  47	6  16   4 
  49	2  31  32 
  53	2  21   9 
  51	2  32  30 
  53	2  30  24 
  55	2  24  25 
  55	2  11  21 
  57	2  22  11 
  59	2  29  22 
  61	2  28  29 
  63	2  33  28 
  57	6  25  19 
  63	6  20  16 
  69	2  19  20 
  65	2  31  33 
  67	2  32  31 
  69	2  30  32 
  59	6   5   3 
  65	6   7   2 
  71	2  20  23 
  71	2  24  30 
  73	2  23   5 
  75	2   5   2 
  77	2   2   1 
  73	2  19  24 
  75	2  20  19 
  77	2  23  20 
  79	2   1   8 
  79	2   5  23 
  81	2   8  15 
  83	2  15  25 
  85	2   2   5 
  87	2   1   2 
  71	6  34  33 
  85	2  25  33 
  87	2  33  26 
  89	2  26  18 
  89	2   8   1 
  91	2  15   8 
  93	2  25  15 
  95	2  33  25 
  97	2  26  33 
  99	2  18  26 
